Time resolution is 1 ps
Time | PC       | IF_ID_INS | STALL | BUBBLE | EALU     | MALU     | WALU     | R8_DEBUG
1260000 | 00000028 | 34a8ffff | 0 | 0 | 00000000 | 00000000 | 00000008 | ffff0000
1280000 | 0000002c | 39085555 | 0 | 0 | 0000ffff | 00000000 | 00000000 | ffff0000
1300000 | 00000030 | 2009ffff | 0 | 0 | 0000aaaa | 0000ffff | 00000000 | ffff0000
1320000 | 00000034 | 312affff | 0 | 0 | ffffffff | 0000aaaa | 0000ffff | ffff0000
1340000 | 00000038 | 01493025 | 0 | 0 | 0000ffff | ffffffff | 0000aaaa | 0000ffff
1360000 | 0000003c | 01494026 | 0 | 0 | ffffffff | 0000ffff | ffffffff | 0000aaaa
1380000 | 00000040 | 01463824 | 0 | 0 | ffff0000 | ffffffff | 0000ffff | 0000aaaa
1400000 | 00000044 | 10a00003 | 0 | 0 | 0000ffff | ffff0000 | ffffffff | 0000aaaa
1420000 | 00000050 | 00000000 | 0 | 0 | 00000000 | 0000ffff | ffff0000 | 0000aaaa
1440000 | 00000054 | 2005ffff | 0 | 0 | 00000000 | 00000000 | 0000ffff | ffff0000
1460000 | 00000058 | 000543c0 | 0 | 0 | ffffffff | 00000000 | 00000000 | ffff0000
1480000 | 0000005c | 00084400 | 0 | 0 | ffff8000 | ffffffff | 00000000 | ffff0000
1500000 | 00000060 | 00084403 | 0 | 0 | 80000000 | ffff8000 | ffffffff | ffff0000
1520000 | 00000064 | 000843c2 | 0 | 0 | ffff8000 | 80000000 | ffff8000 | ffff0000
1540000 | 00000068 | 08000019 | 0 | 0 | 0001ffff | ffff8000 | 80000000 | ffff8000
1560000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 0001ffff | ffff8000 | 80000000
1580000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 0001ffff | ffff8000
1600000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1620000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1640000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1660000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1680000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1700000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1720000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1740000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1760000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1780000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1800000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1820000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1840000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1860000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1880000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1900000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1920000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1940000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
1960000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
1980000 | 00000068 | 08000019 | 0 | 0 | 00000000 | 00000019 | 00000000 | 0001ffff
2000000 | 00000064 | 00000000 | 0 | 0 | 00000019 | 00000000 | 00000019 | 0001ffff
==============================================
Simulation finished
Final PC       = 00000068
Final R4       = 00000060
Final R5       = ffffffff
Final R8       = 0001ffff
==============================================
$finish called at time : 2020 ns : File "C:/QtHomeWork/front-end/newaoe-frontend-backend/refactor_staging/project_923106840429.srcs/sim_1/new/tb_cpu.v" Line 143
